,accuracy,better_option_left,block_number,choice_key,reference_IV,reward_IV,rt,running_score_block,running_score_experiment,trial,trial_block,reference_block,reward_trial_better_option,reward_trial_worse_option
0,,False,1,,++,+,3.00331997871,111.9,1137.9,1,1,111.0,1.2,0.9
1,,False,1,,++,+,3.00312685966,112.8,1138.8,2,2,111.0,1.4,0.9
2,,False,1,,++,+,3.00327992439,113.8,1139.8,3,3,111.0,1.0,1.1
3,,False,1,,++,+,3.00331807137,114.6,1140.6,4,4,111.0,0.8,1.0
4,,False,1,,++,+,3.00329899788,115.4,1141.4,5,5,111.0,0.8,0.8
5,,False,1,,++,+,3.00317001343,116.2,1142.2,6,6,111.0,1.5,0.8
6,,False,1,,++,+,3.00328207016,117.0,1143.0,7,7,111.0,1.5,0.8
7,,False,1,,++,+,3.00325393677,118.1,1144.1,8,8,111.0,1.1,1.3
8,,False,1,,++,+,3.00321292877,118.8,1144.8,9,9,111.0,1.0,0.7
9,,False,1,,++,+,3.0032761097,119.6,1145.6,10,10,111.0,1.2,0.8
10,,False,1,,++,+,3.00313806534,120.3,1146.3,11,11,111.0,0.7,0.9
11,,False,1,,++,+,3.00326395035,121.1,1147.1,12,12,111.0,1.3,0.8
12,,False,1,,++,+,3.00319886208,121.7,1147.7,13,13,111.0,0.6,1.2
13,,False,1,,++,+,3.00312590599,122.6,1148.6,14,14,111.0,1.2,0.9
14,,False,1,,++,+,3.00326800346,123.5,1149.5,15,15,111.0,0.9,1.1
15,,False,1,,++,+,3.00325083733,124.2,1150.2,16,16,111.0,1.0,0.7
16,,False,1,,++,+,3.00318789482,125.0,1151.0,17,17,111.0,0.8,0.8
17,,False,1,,++,+,3.00331020355,125.8,1151.8,18,18,111.0,0.9,0.8
18,,False,1,,++,+,3.00325798988,126.8,1152.8,19,19,111.0,1.4,1.0
19,,False,1,,++,+,3.00322890282,127.6,1153.6,20,20,111.0,1.2,0.8
20,,False,2,,-,-,3.00320506096,-21.8,1131.8,21,1,-20.8,-0.9,-1.0
21,,False,2,,-,-,3.0033390522,-22.9,1130.7,22,2,-20.8,-0.9,-1.1
22,,False,2,,-,-,3.00330018997,-23.9,1129.7,23,3,-20.8,-0.7,-1.0
23,,False,2,,-,-,3.00326180458,-25.0,1128.6,24,4,-20.8,-0.9,-1.1
24,,False,2,,-,-,3.00327014923,-25.9,1127.7,25,5,-20.8,-0.7,-0.9
25,,False,2,,-,-,3.00321507454,-27.0,1126.6,26,6,-20.8,-1.0,-1.1
26,,False,2,,-,-,3.00325417519,-28.1,1125.5,27,7,-20.8,-1.1,-0.8
27,,False,2,,-,-,3.00324010849,-29.2,1124.4,28,8,-20.8,-0.8,-1.1
28,,False,2,,-,-,3.00324988365,-30.2,1123.4,29,9,-20.8,-0.9,-1.0
29,,False,2,,-,-,3.00327801704,-31.4,1122.2,30,10,-20.8,-0.9,-1.2
30,,False,2,,-,-,3.00321006775,-32.4,1121.2,31,11,-20.8,-0.7,-1.0
31,,False,2,,-,-,3.00322413445,-33.5,1120.1,32,12,-20.8,-1.1,-1.1
32,,False,2,,-,-,3.00330710411,-34.2,1119.4,33,13,-20.8,-0.7,-0.7
33,,False,2,,-,-,3.00321793556,-35.5,1118.1,34,14,-20.8,-0.7,-1.3
34,,False,2,,-,-,3.00320506096,-36.7,1116.9,35,15,-20.8,-0.9,-1.2
35,,False,2,,-,-,3.00318193436,-37.8,1115.8,36,16,-20.8,-0.7,-1.1
36,,False,2,,-,-,3.00323104858,-39.2,1114.4,37,17,-20.8,-1.4,-1.4
37,,False,2,,-,-,3.00323390961,-40.6,1113.0,38,18,-20.8,-0.7,-1.4
38,,False,2,,-,-,3.00320982933,-41.7,1111.9,39,19,-20.8,-0.3,-1.1
