,event,key,rt
0,instructions_0,space,16.4026119709
1,instructions_1,space,16.4185230732
2,instructions_2,space,23.8263220787
3,instructions_3,space,33.3699550629
4,instructions_4,space,31.851842165
5,random_event,space,12.5140938759
6,end_of_block,space,7.19167113304
7,random_event,space,3.67131900787
8,end_of_block,space,7.39203596115
9,random_event,space,1.83613395691
10,end_of_block,space,2.82037496567
11,random_event,space,2.92049312592
12,end_of_block,space,2.8370308876
13,random_event,space,1.35247397423
14,end_of_block,space,4.23855018616
15,random_event,space,1.56902503967
16,end_of_block,space,1.43559002876
17,random_event,space,5.84027504921
18,end_of_block,space,1.23556613922
19,random_event,space,1.91939091682
20,end_of_block,space,1.25216889381
21,random_event,space,0.818079948425
22,end_of_block,space,2.26982808113
23,random_event,space,2.70352196693
24,end_of_block,space,1.00184392929
25,random_event,space,0.968333005905
26,end_of_block,space,1.63579702377
27,random_event,space,1.18509197235
28,end_of_block,space,1.20194077492
29,random_event,space,0.701433897018
30,end_of_block,space,3.58790707588
31,random_event,space,1.0683991909
32,end_of_block,space,1.25199699402
33,random_event,space,1.13509202003
34,end_of_block,space,1.23530101776
35,random_event,space,2.72014904022
36,end_of_block,space,1.10195016861
37,end_of_experiment,space,1.95275902748
