"participant"	"gender"	"age"	"options"	"accuracy"	"RT_msec"
"1"	8	"male"	18	"CD"	1	2381
"2"	8	"male"	18	"CD"	1	1730
"3"	8	"male"	18	"AB"	1	1114
"4"	8	"male"	18	"AC"	1	600
"5"	8	"male"	18	"CD"	1	683
"6"	8	"male"	18	"AC"	0	854
"7"	8	"male"	18	"CD"	0	890
"8"	8	"male"	18	"BD"	0	752
"9"	8	"male"	18	"AC"	1	1045
"10"	8	"male"	18	"CD"	0	839
"11"	8	"male"	18	"AB"	1	768
"12"	8	"male"	18	"AB"	1	973
"13"	8	"male"	18	"AB"	0	806
"14"	8	"male"	18	"AC"	0	993
"15"	8	"male"	18	"BD"	0	1148
"16"	8	"male"	18	"BD"	1	427
"17"	8	"male"	18	"AC"	0	756
"18"	8	"male"	18	"AB"	0	803
"19"	8	"male"	18	"BD"	1	770
"20"	8	"male"	18	"CD"	1	532
"21"	8	"male"	18	"CD"	1	466
"22"	8	"male"	18	"AC"	1	1080
"23"	8	"male"	18	"AB"	1	1026
"24"	8	"male"	18	"AB"	0	513
"25"	8	"male"	18	"AB"	0	742
"26"	8	"male"	18	"CD"	0	665
"27"	8	"male"	18	"AB"	0	941
"28"	8	"male"	18	"AC"	1	1249
"29"	8	"male"	18	"CD"	NA	NA
"30"	8	"male"	18	"AC"	1	892
"31"	8	"male"	18	"AB"	0	611
"32"	8	"male"	18	"BD"	1	718
"33"	8	"male"	18	"CD"	1	447
"34"	8	"male"	18	"AB"	1	584
"35"	8	"male"	18	"AC"	1	738
"36"	8	"male"	18	"BD"	1	596
"37"	8	"male"	18	"AC"	1	1030
"38"	8	"male"	18	"BD"	1	689
"39"	8	"male"	18	"CD"	NA	NA
"40"	8	"male"	18	"BD"	1	683
"41"	8	"male"	18	"AB"	0	2803
"42"	8	"male"	18	"AB"	1	708
"43"	8	"male"	18	"CD"	1	568
"44"	8	"male"	18	"CD"	1	616
"45"	8	"male"	18	"BD"	1	825
"46"	8	"male"	18	"AB"	1	921
"47"	8	"male"	18	"BD"	1	789
"48"	8	"male"	18	"AB"	1	737
"49"	8	"male"	18	"BD"	1	670
"50"	8	"male"	18	"AC"	1	2483
"51"	8	"male"	18	"AC"	1	562
"52"	8	"male"	18	"CD"	0	546
"53"	8	"male"	18	"BD"	1	683
"54"	8	"male"	18	"CD"	1	548
"55"	8	"male"	18	"CD"	1	1520
"56"	8	"male"	18	"CD"	1	514
"57"	8	"male"	18	"AC"	1	942
"58"	8	"male"	18	"BD"	1	569
"59"	8	"male"	18	"AB"	1	650
"60"	8	"male"	18	"BD"	1	514
"61"	8	"male"	18	"CD"	1	598
"62"	8	"male"	18	"AC"	1	875
"63"	8	"male"	18	"BD"	1	633
"64"	8	"male"	18	"AC"	1	2376
"65"	8	"male"	18	"AB"	0	820
"66"	8	"male"	18	"AB"	0	1075
"67"	8	"male"	18	"AC"	1	719
"68"	8	"male"	18	"AC"	1	1215
"69"	8	"male"	18	"AC"	1	569
"70"	8	"male"	18	"BD"	1	550
"71"	8	"male"	18	"AC"	1	1130
"72"	8	"male"	18	"CD"	1	1077
"73"	8	"male"	18	"AB"	1	1472
"74"	8	"male"	18	"CD"	0	802
"75"	8	"male"	18	"AB"	1	836
"76"	8	"male"	18	"CD"	0	804
"77"	8	"male"	18	"BD"	1	584
"78"	8	"male"	18	"AB"	0	926
"79"	8	"male"	18	"AC"	NA	NA
"80"	8	"male"	18	"CD"	0	613
"81"	8	"male"	18	"AB"	1	2549
"82"	8	"male"	18	"CD"	1	872
"83"	8	"male"	18	"AC"	1	685
"84"	8	"male"	18	"AB"	1	859
"85"	8	"male"	18	"AC"	1	787
"86"	8	"male"	18	"AB"	0	1093
"87"	8	"male"	18	"AC"	1	667
"88"	8	"male"	18	"AC"	1	702
"89"	8	"male"	18	"BD"	1	887
"90"	8	"male"	18	"AB"	1	1180
"91"	8	"male"	18	"BD"	1	771
"92"	8	"male"	18	"CD"	0	630
"93"	8	"male"	18	"AC"	1	514
"94"	8	"male"	18	"CD"	1	1097
"95"	8	"male"	18	"AB"	1	1184
"96"	8	"male"	18	"BD"	1	685
"97"	8	"male"	18	"AC"	1	1005
"98"	8	"male"	18	"AB"	1	1114
"99"	8	"male"	18	"AC"	0	1266
"100"	8	"male"	18	"AC"	1	804
"101"	8	"male"	18	"BD"	1	530
"102"	8	"male"	18	"AB"	1	786
"103"	8	"male"	18	"CD"	0	977
"104"	8	"male"	18	"BD"	1	648
"105"	8	"male"	18	"BD"	1	528
"106"	8	"male"	18	"AC"	1	752
"107"	8	"male"	18	"AC"	1	668
"108"	8	"male"	18	"BD"	1	549
"109"	8	"male"	18	"BD"	1	547
"110"	8	"male"	18	"BD"	1	563
"111"	8	"male"	18	"CD"	1	598
"112"	8	"male"	18	"BD"	1	581
"113"	8	"male"	18	"AB"	1	1096
"114"	8	"male"	18	"CD"	0	907
"115"	8	"male"	18	"CD"	1	459
"116"	8	"male"	18	"AC"	1	785
"117"	8	"male"	18	"BD"	1	723
"118"	8	"male"	18	"AB"	1	839
"119"	8	"male"	18	"CD"	1	1028
"120"	8	"male"	18	"AB"	1	906
"121"	8	"male"	18	"AC"	1	648
"122"	8	"male"	18	"CD"	1	684
"123"	8	"male"	18	"AC"	1	667
"124"	8	"male"	18	"AC"	1	600
"125"	8	"male"	18	"AC"	1	635
"126"	8	"male"	18	"CD"	0	596
"127"	8	"male"	18	"CD"	1	1999
"128"	8	"male"	18	"AB"	1	1057
"129"	8	"male"	18	"AC"	1	894
"130"	8	"male"	18	"CD"	0	565
"131"	8	"male"	18	"CD"	1	549
"132"	8	"male"	18	"AB"	0	548
"133"	8	"male"	18	"AB"	1	699
"134"	8	"male"	18	"BD"	1	1299
"135"	8	"male"	18	"CD"	1	563
"136"	8	"male"	18	"BD"	1	463
"137"	8	"male"	18	"CD"	1	530
"138"	8	"male"	18	"BD"	1	432
"139"	8	"male"	18	"AB"	1	804
"140"	8	"male"	18	"BD"	1	957
"141"	8	"male"	18	"BD"	1	618
"142"	8	"male"	18	"CD"	1	635
"143"	8	"male"	18	"AC"	1	601
"144"	8	"male"	18	"CD"	0	2302
"145"	8	"male"	18	"BD"	1	702
"146"	8	"male"	18	"AC"	1	822
"147"	8	"male"	18	"AB"	1	1266
"148"	8	"male"	18	"BD"	1	741
"149"	8	"male"	18	"AC"	1	683
"150"	8	"male"	18	"AB"	1	513
"151"	8	"male"	18	"AC"	1	649
"152"	8	"male"	18	"BD"	1	651
"153"	8	"male"	18	"AB"	1	952
"154"	8	"male"	18	"BD"	1	513
"155"	8	"male"	18	"AC"	NA	NA
"156"	8	"male"	18	"AC"	1	820
"157"	8	"male"	18	"BD"	1	960
"158"	8	"male"	18	"BD"	1	458
"159"	8	"male"	18	"BD"	1	446
"160"	8	"male"	18	"CD"	0	1948
"161"	8	"male"	18	"AB"	0	618
"162"	8	"male"	18	"AB"	1	635
"163"	8	"male"	18	"BD"	1	980
"164"	8	"male"	18	"AB"	1	1282
"165"	8	"male"	18	"CD"	1	1435
"166"	8	"male"	18	"AB"	1	820
"167"	8	"male"	18	"CD"	0	1231
"168"	8	"male"	18	"AC"	1	651
