"session"	"sex"	"age"	"haircolor"	"university"	"education"	"shirtless"	"intelligence"	"attractiveness"	"dateability"
1	"m"	23	"brown"	"3.Geneva"	"3.Masters"	"2.Yes"	"1.low"	"3.high"	15
1	"m"	19	"blonde"	"2.Zurich"	"1.HighSchool"	"1.No"	"2.medium"	"2.medium"	44
1	"f"	22	"brown"	"2.Zurich"	"2.Bachelors"	"2.Yes"	"1.low"	"2.medium"	100
1	"f"	22	"red"	"2.Zurich"	"2.Bachelors"	"1.No"	"2.medium"	"3.high"	100
1	"m"	23	"brown"	"3.Geneva"	"2.Bachelors"	"1.No"	"2.medium"	"2.medium"	63
1	"m"	26	"blonde"	"2.Zurich"	"3.Masters"	"2.Yes"	"3.high"	"3.high"	76
1	"f"	19	"brown"	"3.Geneva"	"1.HighSchool"	"1.No"	"1.low"	"2.medium"	61
1	"m"	25	"red"	"2.Zurich"	"3.Masters"	"2.Yes"	"3.high"	"1.low"	26
1	"f"	22	"brown"	"2.Zurich"	"2.Bachelors"	"2.Yes"	"2.medium"	"2.medium"	76
1	"f"	19	"blonde"	"3.Geneva"	"1.HighSchool"	"1.No"	"2.medium"	"2.medium"	40
1	"f"	22	"brown"	"2.Zurich"	"2.Bachelors"	"1.No"	"2.medium"	"1.low"	0
1	"f"	19	"red"	"3.Geneva"	"1.HighSchool"	"1.No"	"1.low"	"2.medium"	25
1	"f"	19	"brown"	"1.Basel"	"1.HighSchool"	"1.No"	"3.high"	"3.high"	35
1	"f"	22	"blonde"	"1.Basel"	"2.Bachelors"	"1.No"	"1.low"	"3.high"	100
1	"m"	17	"brown"	"2.Zurich"	"1.HighSchool"	"1.No"	"1.low"	"3.high"	70
1	"f"	23	"red"	"3.Geneva"	"3.Masters"	"1.No"	"2.medium"	"2.medium"	61
1	"f"	23	"brown"	"2.Zurich"	"2.Bachelors"	"1.No"	"2.medium"	"2.medium"	58
1	"m"	24	"blonde"	"1.Basel"	"3.Masters"	"1.No"	"2.medium"	"3.high"	51
1	"m"	23	"brown"	"3.Geneva"	"2.Bachelors"	"1.No"	"2.medium"	"2.medium"	40
1	"m"	18	"red"	"3.Geneva"	"1.HighSchool"	"1.No"	"2.medium"	"3.high"	37
2	"f"	22	"brown"	"1.Basel"	"2.Bachelors"	"1.No"	"3.high"	"3.high"	58
2	"f"	18	"blonde"	"3.Geneva"	"1.HighSchool"	"1.No"	"3.high"	"2.medium"	52
2	"m"	19	"brown"	"3.Geneva"	"1.HighSchool"	"2.Yes"	"2.medium"	"2.medium"	23
2	"f"	22	"red"	"3.Geneva"	"2.Bachelors"	"2.Yes"	"2.medium"	"3.high"	100
2	"f"	21	"brown"	"3.Geneva"	"2.Bachelors"	"1.No"	"2.medium"	"1.low"	18
2	"f"	19	"blonde"	"1.Basel"	"1.HighSchool"	"1.No"	"3.high"	"3.high"	64
2	"m"	20	"brown"	"3.Geneva"	"1.HighSchool"	"1.No"	"2.medium"	"2.medium"	57
2	"m"	23	"red"	"2.Zurich"	"2.Bachelors"	"1.No"	"2.medium"	"1.low"	41
2	"m"	23	"brown"	"1.Basel"	"2.Bachelors"	"2.Yes"	"2.medium"	"3.high"	3
2	"f"	23	"blonde"	"1.Basel"	"2.Bachelors"	"1.No"	"3.high"	"1.low"	47
2	"m"	22	"brown"	"2.Zurich"	"2.Bachelors"	"1.No"	"3.high"	"3.high"	70
2	"m"	22	"red"	"2.Zurich"	"2.Bachelors"	"1.No"	"2.medium"	"1.low"	39
2	"m"	22	"brown"	"3.Geneva"	"2.Bachelors"	"1.No"	"1.low"	"2.medium"	46
2	"m"	22	"blonde"	"3.Geneva"	"2.Bachelors"	"1.No"	"1.low"	"1.low"	18
2	"f"	28	"brown"	"3.Geneva"	"4.PhD"	"2.Yes"	"1.low"	"3.high"	100
2	"f"	28	"red"	"3.Geneva"	"4.PhD"	"1.No"	"1.low"	"3.high"	75
2	"m"	23	"brown"	"3.Geneva"	"2.Bachelors"	"2.Yes"	"1.low"	"2.medium"	4
2	"f"	23	"blonde"	"2.Zurich"	"2.Bachelors"	"1.No"	"3.high"	"1.low"	47
2	"m"	22	"brown"	"2.Zurich"	"2.Bachelors"	"1.No"	"2.medium"	"1.low"	58
2	"f"	23	"red"	"1.Basel"	"3.Masters"	"1.No"	"1.low"	"2.medium"	61
3	"m"	22	"brown"	"1.Basel"	"2.Bachelors"	"1.No"	"1.low"	"3.high"	54
3	"m"	22	"blonde"	"2.Zurich"	"2.Bachelors"	"1.No"	"3.high"	"1.low"	75
3	"f"	19	"brown"	"3.Geneva"	"1.HighSchool"	"1.No"	"2.medium"	"2.medium"	54
3	"m"	23	"red"	"2.Zurich"	"2.Bachelors"	"1.No"	"2.medium"	"2.medium"	67
3	"m"	22	"brown"	"1.Basel"	"2.Bachelors"	"1.No"	"2.medium"	"3.high"	44
3	"m"	29	"blonde"	"1.Basel"	"4.PhD"	"2.Yes"	"3.high"	"3.high"	36
3	"m"	22	"brown"	"2.Zurich"	"2.Bachelors"	"1.No"	"3.high"	"2.medium"	97
3	"f"	23	"red"	"1.Basel"	"3.Masters"	"2.Yes"	"2.medium"	"3.high"	100
3	"f"	19	"brown"	"1.Basel"	"1.HighSchool"	"1.No"	"3.high"	"3.high"	26
3	"m"	20	"blonde"	"2.Zurich"	"1.HighSchool"	"1.No"	"3.high"	"3.high"	48
3	"m"	22	"brown"	"2.Zurich"	"2.Bachelors"	"1.No"	"2.medium"	"2.medium"	55
3	"m"	29	"red"	"1.Basel"	"4.PhD"	"2.Yes"	"3.high"	"3.high"	66
3	"f"	18	"brown"	"2.Zurich"	"1.HighSchool"	"1.No"	"3.high"	"2.medium"	31
3	"f"	28	"blonde"	"3.Geneva"	"4.PhD"	"2.Yes"	"1.low"	"1.low"	30
3	"m"	22	"brown"	"3.Geneva"	"2.Bachelors"	"2.Yes"	"3.high"	"3.high"	38
3	"f"	23	"red"	"2.Zurich"	"2.Bachelors"	"1.No"	"2.medium"	"3.high"	100
3	"f"	18	"brown"	"1.Basel"	"1.HighSchool"	"1.No"	"3.high"	"3.high"	43
3	"f"	22	"blonde"	"2.Zurich"	"2.Bachelors"	"1.No"	"2.medium"	"2.medium"	48
3	"f"	22	"brown"	"3.Geneva"	"2.Bachelors"	"1.No"	"1.low"	"2.medium"	71
3	"f"	18	"red"	"1.Basel"	"1.HighSchool"	"2.Yes"	"1.low"	"3.high"	100
4	"f"	23	"brown"	"2.Zurich"	"2.Bachelors"	"2.Yes"	"3.high"	"2.medium"	94
4	"f"	21	"blonde"	"1.Basel"	"2.Bachelors"	"2.Yes"	"2.medium"	"3.high"	100
4	"f"	18	"brown"	"1.Basel"	"1.HighSchool"	"1.No"	"1.low"	"3.high"	80
4	"f"	25	"red"	"2.Zurich"	"3.Masters"	"1.No"	"2.medium"	"1.low"	8
4	"f"	28	"brown"	"3.Geneva"	"4.PhD"	"1.No"	"3.high"	"2.medium"	4
4	"f"	27	"blonde"	"3.Geneva"	"4.PhD"	"1.No"	"2.medium"	"3.high"	89
4	"m"	22	"brown"	"3.Geneva"	"2.Bachelors"	"1.No"	"1.low"	"2.medium"	34
4	"m"	23	"red"	"3.Geneva"	"2.Bachelors"	"1.No"	"1.low"	"3.high"	40
4	"f"	29	"brown"	"3.Geneva"	"4.PhD"	"1.No"	"2.medium"	"3.high"	96
4	"f"	20	"blonde"	"1.Basel"	"1.HighSchool"	"2.Yes"	"2.medium"	"3.high"	100
4	"m"	28	"brown"	"3.Geneva"	"4.PhD"	"1.No"	"1.low"	"2.medium"	31
4	"f"	23	"red"	"1.Basel"	"3.Masters"	"2.Yes"	"3.high"	"2.medium"	69
4	"f"	22	"brown"	"2.Zurich"	"2.Bachelors"	"1.No"	"2.medium"	"1.low"	30
4	"f"	22	"blonde"	"2.Zurich"	"2.Bachelors"	"1.No"	"2.medium"	"3.high"	94
4	"f"	23	"brown"	"3.Geneva"	"2.Bachelors"	"1.No"	"3.high"	"2.medium"	37
4	"m"	22	"red"	"1.Basel"	"2.Bachelors"	"1.No"	"3.high"	"3.high"	74
4	"m"	22	"brown"	"3.Geneva"	"2.Bachelors"	"2.Yes"	"1.low"	"3.high"	23
4	"m"	22	"blonde"	"1.Basel"	"2.Bachelors"	"1.No"	"1.low"	"2.medium"	65
4	"f"	27	"brown"	"3.Geneva"	"4.PhD"	"2.Yes"	"3.high"	"2.medium"	79
4	"f"	22	"red"	"1.Basel"	"2.Bachelors"	"1.No"	"3.high"	"3.high"	47
5	"f"	25	"brown"	"2.Zurich"	"3.Masters"	"1.No"	"3.high"	"2.medium"	20
5	"f"	22	"blonde"	"2.Zurich"	"2.Bachelors"	"1.No"	"1.low"	"1.low"	19
5	"f"	22	"brown"	"1.Basel"	"2.Bachelors"	"1.No"	"1.low"	"1.low"	45
5	"f"	18	"red"	"3.Geneva"	"1.HighSchool"	"1.No"	"1.low"	"3.high"	100
5	"m"	19	"brown"	"2.Zurich"	"1.HighSchool"	"1.No"	"2.medium"	"1.low"	56
5	"f"	18	"blonde"	"1.Basel"	"1.HighSchool"	"2.Yes"	"2.medium"	"3.high"	94
5	"m"	22	"brown"	"2.Zurich"	"2.Bachelors"	"2.Yes"	"1.low"	"3.high"	40
5	"m"	22	"red"	"3.Geneva"	"3.Masters"	"1.No"	"3.high"	"2.medium"	49
