"id"	"sex"	"age"	"attention"	"prime"	"prime.duration"	"grandparents"	"walk"	"walking.m"
"12"	12	"f"	22	1	"neutral"	10	"yes"	36.8	0.613333333333333
"24"	24	"f"	22	1	"neutral"	10	"none"	34.7	0.578333333333333
"27"	27	"f"	22	1	"neutral"	1	"yes"	33.2	0.553333333333333
"36"	36	"f"	22	1	"neutral"	30	"none"	35	0.583333333333333
"39"	39	"f"	23	0	"neutral"	30	"none"	35.6	0.593333333333333
"42"	42	"f"	21	1	"neutral"	10	"none"	35.3	0.588333333333333
"43"	43	"f"	22	1	"neutral"	1	"none"	32.9	0.548333333333333
"47"	47	"f"	22	1	"neutral"	10	"no"	36.5	0.608333333333333
"48"	48	"f"	24	1	"neutral"	20	"no"	36.4	0.606666666666667
"55"	55	"f"	22	1	"neutral"	5	"yes"	35	0.583333333333333
"62"	62	"f"	21	1	"neutral"	10	"none"	36	0.6
"74"	74	"f"	22	1	"neutral"	30	"none"	36.2	0.603333333333333
"75"	75	"f"	22	1	"neutral"	10	"yes"	34.8	0.58
"77"	77	"f"	22	1	"neutral"	30	"none"	35.9	0.598333333333333
"78"	78	"f"	23	1	"neutral"	10	"yes"	-50.3841078002006	-0.839735130003343
"87"	87	"f"	22	1	"neutral"	10	"no"	33	0.55
"91"	91	"f"	24	1	"neutral"	10	"no"	36.4	0.606666666666667
"95"	95	"f"	21	1	"neutral"	1	"none"	34.8	0.58
"97"	97	"f"	21	0	"neutral"	30	"none"	-52.0825915760361	-0.868043192933935
"105"	105	"f"	23	1	"neutral"	5	"none"	35	0.583333333333333
"110"	110	"f"	19	1	"neutral"	30	"no"	35.8	0.596666666666667
"112"	112	"f"	25	1	"neutral"	30	"none"	36	0.6
"115"	115	"f"	22	1	"neutral"	1	"yes"	34.7	0.578333333333333
"118"	118	"f"	22	1	"neutral"	30	"yes"	36.1	0.601666666666667
"124"	124	"f"	23	1	"neutral"	5	"no"	35	0.583333333333333
"128"	128	"f"	22	1	"neutral"	10	"no"	34.7	0.578333333333333
"129"	129	"f"	20	1	"neutral"	60	"no"	35.5	0.591666666666667
"132"	132	"f"	22	0	"neutral"	1	"no"	35.7	0.595
"146"	146	"f"	23	1	"neutral"	1	"no"	35.7	0.595
"158"	158	"f"	21	1	"neutral"	30	"no"	33.8	0.563333333333333
"160"	160	"f"	23	1	"neutral"	30	"yes"	36	0.6
"170"	170	"f"	21	1	"neutral"	5	"none"	36.2	0.603333333333333
"175"	175	"f"	22	1	"neutral"	30	"yes"	35.6	0.593333333333333
"178"	178	"f"	20	1	"neutral"	10	"no"	36.1	0.601666666666667
"184"	184	"f"	21	1	"neutral"	1	"no"	34.1	0.568333333333333
"194"	194	"f"	21	1	"neutral"	10	"yes"	34.8	0.58
"200"	200	"f"	22	1	"neutral"	30	"no"	34.4	0.573333333333333
"204"	204	"f"	22	1	"neutral"	5	"yes"	34.6	0.576666666666667
"212"	212	"f"	20	1	"neutral"	30	"none"	34	0.566666666666667
"217"	217	"f"	22	0	"neutral"	30	"none"	-45.9800552739762	-0.76633425456627
"218"	218	"f"	23	1	"neutral"	5	"no"	35.7	0.595
"226"	226	"f"	24	1	"neutral"	10	"yes"	35.6	0.593333333333333
"238"	238	"f"	21	0	"neutral"	1	"no"	34.4	0.573333333333333
"242"	242	"f"	22	0	"neutral"	1	"no"	35	0.583333333333333
"252"	252	"f"	22	1	"neutral"	10	"none"	34.8	0.58
"259"	259	"f"	21	1	"neutral"	10	"none"	33.9	0.565
"269"	269	"f"	22	1	"neutral"	30	"no"	35.5	0.591666666666667
"276"	276	"f"	21	1	"neutral"	30	"none"	34.9	0.581666666666667
"279"	279	"f"	21	1	"neutral"	5	"yes"	34.9	0.581666666666667
"287"	287	"f"	23	0	"neutral"	10	"no"	35.2	0.586666666666667
"294"	294	"f"	22	1	"neutral"	1	"no"	33.7	0.561666666666667
"297"	297	"f"	23	0	"neutral"	30	"no"	34.5	0.575
"303"	303	"f"	22	1	"neutral"	10	"no"	35.7	0.595
"306"	306	"f"	22	1	"neutral"	5	"none"	34.1	0.568333333333333
"310"	310	"f"	23	1	"neutral"	10	"yes"	34.8	0.58
"312"	312	"f"	23	1	"neutral"	1	"yes"	34.9	0.581666666666667
"318"	318	"f"	21	0	"neutral"	10	"none"	35.7	0.595
"319"	319	"f"	22	1	"neutral"	10	"none"	35.5	0.591666666666667
"320"	320	"f"	22	1	"neutral"	10	"no"	34.5	0.575
"323"	323	"f"	24	1	"neutral"	30	"no"	35	0.583333333333333
"326"	326	"f"	23	1	"neutral"	1	"no"	35	0.583333333333333
"329"	329	"f"	23	0	"neutral"	10	"none"	35.2	0.586666666666667
"330"	330	"f"	23	1	"neutral"	30	"no"	33.6	0.56
"334"	334	"f"	23	1	"neutral"	30	"none"	35	0.583333333333333
"340"	340	"f"	22	1	"neutral"	30	"yes"	33.9	0.565
"343"	343	"f"	24	1	"neutral"	5	"no"	35.4	0.59
"353"	353	"f"	21	1	"neutral"	5	"yes"	35.8	0.596666666666667
"357"	357	"f"	23	1	"neutral"	5	"none"	36.1	0.601666666666667
"363"	363	"f"	20	1	"neutral"	1	"none"	36.5	0.608333333333333
"365"	365	"f"	22	1	"neutral"	1	"yes"	36.4	0.606666666666667
"366"	366	"f"	23	1	"neutral"	30	"yes"	35.1	0.585
"385"	385	"f"	23	1	"neutral"	10	"none"	36.2	0.603333333333333
"390"	390	"f"	22	1	"neutral"	1	"yes"	36.1	0.601666666666667
"393"	393	"f"	21	1	"neutral"	10	"none"	36	0.6
"395"	395	"f"	22	1	"neutral"	5	"yes"	34.7	0.578333333333333
"396"	396	"f"	22	1	"neutral"	30	"yes"	36.8	0.613333333333333
"406"	406	"f"	22	1	"neutral"	30	"no"	35.5	0.591666666666667
"408"	408	"f"	23	1	"neutral"	1	"no"	34.3	0.571666666666667
"416"	416	"f"	21	0	"neutral"	1	"no"	34.7	0.578333333333333
"418"	418	"f"	22	1	"neutral"	5	"no"	34.3	0.571666666666667
"420"	420	"f"	23	1	"neutral"	1	"yes"	36.1	0.601666666666667
"428"	428	"f"	22	1	"neutral"	1	"yes"	35.7	0.595
"431"	431	"f"	23	1	"neutral"	10	"no"	35.3	0.588333333333333
"436"	436	"f"	21	1	"neutral"	10	"yes"	34.2	0.57
"444"	444	"f"	23	1	"neutral"	5	"none"	-67.4664869392291	-1.12444144898715
"445"	445	"f"	23	1	"neutral"	10	"no"	36.7	0.611666666666667
